1498586874.57 {'correction_signal': 2.5224, 'message': 'ok', 'error_signal': -0.0012}
1498586880.41 {'correction_signal': 2.5212, 'message': 'ok', 'error_signal': -0.0005}
1498586886.23 {'correction_signal': 2.5209, 'message': 'ok', 'error_signal': -0.007}
1498586892.05 {'correction_signal': 2.5254, 'message': 'ok', 'error_signal': -0.0044}
1498586897.89 {'correction_signal': 2.5221, 'message': 'ok', 'error_signal': 0.0012}
1498586903.71 {'correction_signal': 2.5243, 'message': 'ok', 'error_signal': 0.004}
1498586909.55 {'correction_signal': 2.5256, 'message': 'ok', 'error_signal': -0.0034}
1498586915.39 {'correction_signal': 2.528, 'message': 'ok', 'error_signal': -0.0037}
1498586921.21 {'correction_signal': 2.5331, 'message': 'ok', 'error_signal': -0.0101}
1498586927.05 {'correction_signal': 2.5324, 'message': 'ok', 'error_signal': 0.0029}
1498586932.88 {'correction_signal': 2.5304, 'message': 'ok', 'error_signal': 0.016}
1498586938.72 {'correction_signal': 2.5276, 'message': 'ok', 'error_signal': -0.0049}
1498586944.54 {'correction_signal': 2.5319, 'message': 'ok', 'error_signal': -0.0012}
1498586950.36 {'correction_signal': 2.5339, 'message': 'ok', 'error_signal': -0.0029}
1498586956.2 {'correction_signal': 2.5325, 'message': 'ok', 'error_signal': 0.0082}
1498586962.02 {'correction_signal': 2.5315, 'message': 'ok', 'error_signal': 0.0006}
1498586967.86 {'correction_signal': 2.5318, 'message': 'ok', 'error_signal': -0.0029}
1498586973.68 {'correction_signal': 2.5336, 'message': 'ok', 'error_signal': 0.0073}
1498586979.52 {'correction_signal': 2.5296, 'message': 'ok', 'error_signal': 0.0012}
1498586985.35 {'correction_signal': 2.5305, 'message': 'ok', 'error_signal': -0.0024}
1498586991.17 {'correction_signal': 2.5341, 'message': 'ok', 'error_signal': -0.0018}
1498586997.01 {'correction_signal': 2.537, 'message': 'ok', 'error_signal': 0.0027}
1498587002.83 {'correction_signal': 2.5317, 'message': 'ok', 'error_signal': 0.0053}
1498587008.65 {'correction_signal': 2.5355, 'message': 'ok', 'error_signal': 0.0006}
1498587014.49 {'correction_signal': 2.5342, 'message': 'ok', 'error_signal': 0.0}
1498587020.32 {'correction_signal': 2.532, 'message': 'ok', 'error_signal': -0.0012}
1498587026.14 {'correction_signal': 2.5341, 'message': 'ok', 'error_signal': 0.002}
1498587031.98 {'correction_signal': 2.5355, 'message': 'ok', 'error_signal': 0.0058}
1498587037.8 {'correction_signal': 2.5326, 'message': 'ok', 'error_signal': -0.0015}
