1498623620.51 {'correction_signal': 3.4698, 'message': 'ok', 'error_signal': -0.0009}
1498623626.34 {'correction_signal': 3.4691, 'message': 'ok', 'error_signal': -0.0031}
1498623632.17 {'correction_signal': 3.4708, 'message': 'ok', 'error_signal': 0.0021}
1498623638.0 {'correction_signal': 3.4737, 'message': 'ok', 'error_signal': -0.0014}
1498623643.84 {'correction_signal': 3.4722, 'message': 'ok', 'error_signal': -0.0064}
1498623649.66 {'correction_signal': 3.4696, 'message': 'ok', 'error_signal': 0.0046}
1498623655.5 {'correction_signal': 3.472, 'message': 'ok', 'error_signal': 0.0031}
1498623661.32 {'correction_signal': 3.4715, 'message': 'ok', 'error_signal': -0.0006}
1498623667.14 {'correction_signal': 3.4734, 'message': 'ok', 'error_signal': 0.0031}
1498623672.98 {'correction_signal': 3.4724, 'message': 'ok', 'error_signal': -0.0018}
1498623678.81 {'correction_signal': 3.4734, 'message': 'ok', 'error_signal': -0.0041}
1498623684.64 {'correction_signal': 3.4745, 'message': 'ok', 'error_signal': 0.0005}
1498623690.47 {'correction_signal': 3.4754, 'message': 'ok', 'error_signal': 0.0049}
1498623696.31 {'correction_signal': 3.475, 'message': 'ok', 'error_signal': 0.0009}
1498623702.13 {'correction_signal': 3.4772, 'message': 'ok', 'error_signal': -0.0011}
1498623707.95 {'correction_signal': 3.4793, 'message': 'ok', 'error_signal': -0.0024}
1498623713.79 {'correction_signal': 3.4774, 'message': 'ok', 'error_signal': -0.0003}
1498623719.61 {'correction_signal': 3.477, 'message': 'ok', 'error_signal': 0.0032}
1498623725.45 {'correction_signal': 3.4774, 'message': 'ok', 'error_signal': 0.004}
1498623731.28 {'correction_signal': 3.4755, 'message': 'ok', 'error_signal': 0.0023}
1498623737.11 {'correction_signal': 3.475, 'message': 'ok', 'error_signal': -0.0073}
1498623742.94 {'correction_signal': 3.4752, 'message': 'ok', 'error_signal': 0.0011}
1498623748.78 {'correction_signal': 3.4769, 'message': 'ok', 'error_signal': 0.0023}
1498623754.6 {'correction_signal': 3.4743, 'message': 'ok', 'error_signal': 0.0119}
1498623760.44 {'correction_signal': 3.4755, 'message': 'ok', 'error_signal': -0.0046}
1498623766.26 {'correction_signal': 3.4716, 'message': 'ok', 'error_signal': 0.0041}
1498623772.1 {'correction_signal': 3.4713, 'message': 'ok', 'error_signal': -0.0023}
1498623777.92 {'correction_signal': 3.4729, 'message': 'ok', 'error_signal': -0.004}
1498623783.75 {'correction_signal': 3.4702, 'message': 'ok', 'error_signal': -0.0024}
1498623789.58 {'correction_signal': 3.4695, 'message': 'ok', 'error_signal': -0.0026}
1498623795.41 {'correction_signal': 3.4681, 'message': 'ok', 'error_signal': -0.0053}
1498623801.25 {'correction_signal': 3.4709, 'message': 'ok', 'error_signal': -0.0006}
1498623807.07 {'correction_signal': 3.4742, 'message': 'ok', 'error_signal': 0.0024}
1498623812.91 {'correction_signal': 3.4735, 'message': 'ok', 'error_signal': 0.0}
1498623818.73 {'correction_signal': 3.4712, 'message': 'ok', 'error_signal': 0.0017}
1498623824.57 {'correction_signal': 3.4679, 'message': 'ok', 'error_signal': -0.0043}
1498623830.39 {'correction_signal': 3.4694, 'message': 'ok', 'error_signal': -0.0008}
1498623836.23 {'correction_signal': 3.4656, 'message': 'ok', 'error_signal': -0.0003}
1498623842.06 {'correction_signal': 3.4647, 'message': 'ok', 'error_signal': 0.0038}
1498623847.89 {'correction_signal': 3.4604, 'message': 'ok', 'error_signal': 0.0015}
1498623853.72 {'correction_signal': 3.4588, 'message': 'ok', 'error_signal': -0.0021}
1498623859.54 {'correction_signal': 3.4558, 'message': 'ok', 'error_signal': 0.0024}
1498623865.38 {'correction_signal': 3.4564, 'message': 'ok', 'error_signal': 0.0085}
1498623871.2 {'correction_signal': 3.4537, 'message': 'ok', 'error_signal': 0.0053}
1498623877.04 {'correction_signal': 3.4526, 'message': 'ok', 'error_signal': 0.0012}
1498623882.86 {'correction_signal': 3.4514, 'message': 'ok', 'error_signal': 0.0035}
1498623888.7 {'correction_signal': 3.4497, 'message': 'ok', 'error_signal': 0.0024}
1498623894.53 {'correction_signal': 3.4508, 'message': 'ok', 'error_signal': -0.0053}
1498623900.36 {'correction_signal': 3.4501, 'message': 'ok', 'error_signal': 0.002}
1498623906.19 {'correction_signal': 3.4502, 'message': 'ok', 'error_signal': 0.0017}
1498623912.03 {'correction_signal': 3.4512, 'message': 'ok', 'error_signal': -0.0003}
1498623917.85 {'correction_signal': 3.4531, 'message': 'ok', 'error_signal': 0.0012}
1498623923.67 {'correction_signal': 3.4532, 'message': 'ok', 'error_signal': -0.0067}
1498623929.51 {'correction_signal': 3.4529, 'message': 'ok', 'error_signal': 0.0041}
1498623935.33 {'correction_signal': 3.452, 'message': 'ok', 'error_signal': 0.0058}
1498623941.17 {'correction_signal': 3.4533, 'message': 'ok', 'error_signal': 0.0006}
1498623946.99 {'correction_signal': 3.4516, 'message': 'ok', 'error_signal': -0.0011}
1498623952.83 {'correction_signal': 3.4527, 'message': 'ok', 'error_signal': -0.0023}
1498623958.66 {'correction_signal': 3.4552, 'message': 'ok', 'error_signal': -0.0027}
1498623964.5 {'correction_signal': 3.4564, 'message': 'ok', 'error_signal': 0.0037}
1498623970.32 {'correction_signal': 3.4566, 'message': 'ok', 'error_signal': -0.0043}
1498623976.14 {'correction_signal': 3.4576, 'message': 'ok', 'error_signal': 0.0}
1498623981.98 {'correction_signal': 3.4576, 'message': 'ok', 'error_signal': -0.0049}
1498623987.8 {'correction_signal': 3.4555, 'message': 'ok', 'error_signal': -0.0003}
1498623993.64 {'correction_signal': 3.454, 'message': 'ok', 'error_signal': -0.0012}
1498623999.46 {'correction_signal': 3.4545, 'message': 'ok', 'error_signal': -0.0003}
1498624005.29 {'correction_signal': 3.4568, 'message': 'ok', 'error_signal': -0.007}
1498624011.13 {'correction_signal': 3.4568, 'message': 'ok', 'error_signal': -0.0009}
